Response ID,Date submitted,Last page,Start language,What is your profession- [Biologist],What is your profession- [Chemist],What is your profession- [Biochemist],What is your profession- [Pharmacologist],What is your profession- [Pathologist],What is your profession- [Medical scientist],What is your profession- [Medical doctor],What is your profession- [Toxicologist / Forensic scientist],What is your profession- [Technical assistant],What is your profession- [Engineer/ Physicist],What is your profession- [Bioinformatician],What is your profession- [Mathematician/ Statistician],What is your profession- [Student],What is your profession- [Other],What is your field of use for MALDI imaging- [Small molecules],What is your field of use for MALDI imaging- [Lipidomics],What is your field of use for MALDI imaging- [Metabolomics],What is your field of use for MALDI imaging- [Proteomics],What is your field of use for MALDI imaging- [Pharmaceutical research],What is your field of use for MALDI imaging- [Biomarkers and diagnostics],What is your field of use for MALDI imaging- [Pathology and molecular histology],What is your field of use for MALDI imaging- [Forensics and toxicology],What is your field of use for MALDI imaging- [Polymer research],What is your field of use for MALDI imaging- [Plant research],What is your field of use for MALDI imaging- [Microbiology],What is your field of use for MALDI imaging- [Methodology],What is your field of use for MALDI imaging- [Bioinformatics],What is your field of use for MALDI imaging- [MALDI-imaging services],What is your field of use for MALDI imaging- [Instrumentation],What is your field of use for MALDI imaging- [Other],Which ionization techniques do you use in your lab for mass spectrometry imaging- [MALDI (Matrix-assisted laser desorption/ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [DESI (Desorption electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [SIMS (Secondary ion mass spectrometry)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [LAESI (Laser ablation electrospray ionization)],Which ionization techniques do you use in your lab for mass spectrometry imaging- [Other],"Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), linear mode]","Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), reflector mode]",Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Q-ToF (Quadrupole time of flight)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-ICR (Fourier transform ion cyclotron resonance)],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-Orbitrap],Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Other],How many/ which mass spectrometers do you have in your lab for performing MS imaging experiments-,How many MS imaging data sets are acquired in your lab on average-,How many MS imaging data sets are acquired in your lab on average- [Other],"How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) -","How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) - [Other]",What impact do you expect METASPACE to have on the work in your lab/ industry-,"Which features, functions, or performance characteristics would increase the impact of METASPACE on the work in your lab/ industry- Which processing constraints are valid for you (e.g. runtime, size of data)-",What would be the preferable way of running the software- [Online in a cloud/ community server],What would be the preferable way of running the software- [Local cluster/ server],What would be the preferable way of running the software- [Workstation],What would be the preferable way of running the software- [Desktop PC],What would be the preferable way of running the software- [Laptop],What would be the preferable way of running the software- [Other],Which types / formats of input data are necessary- [imzML format],Which types / formats of input data are necessary- [SCiLS Lab format],Which types / formats of input data are necessary- [Other MS imaging software format],Which types / formats of input data are necessary- [Bruker raw data],Which types / formats of input data are necessary- [Shimadzu raw data],Which types / formats of input data are necessary- [Sciex raw data],Which types / formats of input data are necessary- [Thermo Fisher Scientific raw data],Which types / formats of input data are necessary- [Waters raw data],Which types / formats of input data are necessary- [Other mass spec vendor's raw data],Which types / formats of input data are necessary- [Other],Which types of output should be provided- [Interactive web browser],Which types of output should be provided- [Integration within SCiLS Lab],Which types of output should be provided- [PDF report],Which types of output should be provided- [List of molecules],Which types of output should be provided- [Images],Which types of output should be provided- [Other],How important would be for you the sustainability of the engine-,How important would be for you customization services-,How important would be for you maintenance and support-,If you have any further comments or general remarks please leave them here:
55,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
56,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,,Yes,Yes,Yes,Yes,LTP,Yes,Yes,Yes,Yes,No,,15,3-5 data sets / day,,Other,soon more,High impact,,Yes,Yes,No,No,No,,Yes,Yes,No,Yes,No,No,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,,I don't know,I don't know,"crucial, ready to pay for it",
57,1980-01-01 00:00:00,3,en,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,,Yes,Yes,No,No,,Yes,Yes,No,No,Yes,,two,More than 5 data sets / day,,3-5 data sets / day,,High impact,"statistical analysis.
data size and some time lack of information of biological problem.",Yes,No,No,No,Yes,,Yes,Yes,No,Yes,No,No,Yes,No,No,,Yes,No,Yes,No,Yes,,"important, but not to the level to pay for it",not important,"important, but not to the level to pay for it",
58,1980-01-01 00:00:00,3,en,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,,Yes,No,No,No,,No,No,No,No,Yes,,2 7T Solarix FTICR MS,1-2 data sets / day,,Other,All of them,High impact,"size of the data, and run time of the software processing large data sets",Yes,No,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"crucial, ready to pay for it","crucial, ready to pay for it","crucial, ready to pay for it",
59,1980-01-01 00:00:00,3,en,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,,Yes,Yes,No,No,,Yes,Yes,No,No,No,,"2
AutoFlex [Bruker]
Microflex [Bruker]",3-5 data sets / week,,,,High impact,"-Linking high confidence MALDI identifications to a HR tandem MS spectra from a database.  
-Adding annotations and recovering annotations at different certainty threshholds.  
- Ability to handle scale is important.  Longer runtime is acceptable as long as things are reproducible and don't crash.  ",Yes,No,No,Yes,Yes,,Yes,No,No,Yes,No,No,Yes,No,No,mzXML,Yes,Yes,No,Yes,Yes,Include confidences in output,I don't know,"important, but not to the level to pay for it","important, but not to the level to pay for it","The preference for open-source means that the tools themselves should be engineered to last or at least with the transparency and documentation to allow anyone with sufficient will and skill to maintain or customize the tools.  
Paying would be totally reasonable for maintenance of high quality annotations and rapid responses to user software requests.  "
60,,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,UltraFleXtreme,3-5 data sets / week,,,,,,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,,,,
61,1980-01-01 00:00:00,3,en,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,mass spectrometrist,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,No,No,flow probe and nanoDESI,Yes,Yes,No,Yes,Yes,,4*2 maldi tof and two DESI. nanoDESI/flow probe,1-2 data sets / week,,Less than 1 data set / week,,Unsure,annotation and cross correlation with other data sets in an efficient way.,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,all that apply bet begin with bruker and thermo,Yes,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
62,,2,en,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,MALDI TOF/TOF for imaging - LC ESI MS/MS for identification,3-5 data sets / week,,,,Unsure,,No,No,Yes,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,No,Yes,Yes,,"crucial, ready to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
63,1980-01-01 00:00:00,3,en,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,LESA,Yes,Yes,Yes,Yes,No,,"11
Physical electronics NanoTof, Biotrift and SIMSTrift
Waters synapt G1, G2S and G2Si
Bruker autoflex, ultraflex, rapiflex
7T LTQ-FTICR, 9.4T FTICR",3-5 data sets / week,,3-5 data sets / week,,High impact,"Data size and processing capabilities. Our Matlab scripts require large memory and processing powers currently that we cannot keep up with. 
Having example MSMS spectra from tissue is important for identification, also example images from certain tissues and biological information so results point in a translatable direction, much as HMDB currently provides for regular MS data.
Also a include the possibility to search ion adduct masses as a complete search unlike lipidMAPS search function. ",Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,Yes,No,.mat matlab files,Yes,Yes,No,No,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
64,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,,Less than 1 data set / week,,Less than 1 data set / week,,Unsure,,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,I don't know,I don't know,"important, but not to the level to pay for it",
66,1980-01-01 00:00:00,3,en,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,No,No,Yes,Yes,No,,"2 Qstar XL QTofs
2 SolariX FTICRs (7 telsa paracell)",More than 5 data sets / day,,More than 5 data sets / day,,High impact,"Would need to handle large (>100GB) FT data sets.  If we could queue up batches of imaging data, that would be preferred.",No,Yes,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it","If the annotation proves successful, likely that we would be willing to pay for services, but would need to justify need for budget approval (hence impact on workflow needs to be demonstrated first)."
67,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,Yes,No,,"2 :
- 1 Bruker Autoflex Speed TOF TOF
- 1 Bruker Solarix FTICR",3-5 data sets / week,,3-5 data sets / week,,High impact,"- Integration with Scils Lab pipelines for automation of database queries
- Optimum exploitation of the spectral richness of FTICR data (accumrate mass + isotopic fine structure)
",No,No,Yes,No,No,,Yes,Yes,No,Yes,No,No,No,No,No,,No,Yes,Yes,Yes,No,,"crucial, ready to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
68,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Microbiologist,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,One,1-2 data sets / week,,,,Unsure,"A molecular database that includes microbial and plant signals (not just human/mouse)
",No,Yes,No,No,Yes,,No,Yes,No,Yes,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,,I don't know,I don't know,I don't know,
69,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,,Yes,No,No,No,,Yes,Yes,Yes,Yes,No,,"Bruker Autoflex (3)
15T Bruker solariX
9.4T Bruker soalriX
Bruker RapifleX
Bruker Ultraflex
Waters G2
Thermo LTQ
SimulTOF (2)",More than 5 data sets / day,,1-2 data sets / day,,High impact,"Not sure if your search is already including this, but would be very helpful if lipids were included in the exact mass filtering step.",Yes,No,Yes,Yes,Yes,,No,Yes,No,Yes,No,No,No,No,Yes,,Yes,Yes,No,Yes,Yes,,"crucial, ready to pay for it",I don't know,"important, but not to the level to pay for it",
70,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,Bruker UltraFlextreme MALDI-TOF/TOF,1-2 data sets / day,,1-2 data sets / week,,Unsure,Size of data,Yes,Yes,No,No,No,,Yes,Yes,No,Yes,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,,"crucial, ready to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
71,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,,Yes,No,No,No,,Yes,Yes,No,No,No,,Bruker UltrafleXtreme MALDI TOF,3-5 data sets / week,,,,High impact,"compatible file format(s), peak picking and tolerance for calibration issues, ",No,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,No,No,,No,Yes,Yes,Yes,Yes,,I don't know,I don't know,I don't know,"this could revolutionise de novo profiling of tissue sections by IMS if done well, and would definitely be worth paying for."
72,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,1,Less than 1 data set / week,,Less than 1 data set / week,,Very high impact,,No,No,No,Yes,No,,No,Yes,Yes,Yes,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
73,1980-01-01 00:00:00,3,en,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,Yes,No,No,No,,No,No,No,Yes,No,,SolariX,3-5 data sets / week,,3-5 data sets / week,,Unsure,Organism specific database matching of metabolites,No,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,I don't know,I don't know,I don't know,
74,1980-01-01 00:00:00,3,en,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,Desorption ionization on porous silicon,Yes,Yes,No,No,No,,Bruker Ultraflex III & Ultraflextreme,1-2 data sets / week,,Less than 1 data set / week,,High impact,size of data sets and reduced loss of low signal to noise peak annotation (drug distribution - metabolite detection can be at low signal intensity).,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,Yes,No,No,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it","This kind of data can be complementary to a targeted analysis, i.e. drug distribution and associated up-regulation of inflammatory markers or metabolic by-products. It would be really useful for integration into the SCiLS Lab platform."
75,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
76,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,1 MALDI-TOF,3-5 data sets / week,,Less than 1 data set / week,,High impact,"accuracy of annotation
filtering for analysed biological sample/species ",Yes,No,No,Yes,No,,No,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,No,Yes,No,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
77,1980-01-01 00:00:00,3,en,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,2: Bruker UltraflexXtreme and SELDI,1-2 data sets / week,,1-2 data sets / week,,Unsure,,No,Yes,Yes,No,No,,No,Yes,No,Yes,No,No,No,No,No,,No,Yes,No,Yes,Yes,,,,,
80,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,,No,Yes,No,Yes,LAAPPI,No,No,Yes,No,No,,2,1-2 data sets / week,,1-2 data sets / week,,Unsure,"Unlike MALDI, LAAPPI may also create molecular ions. This should be taken into account.",Yes,No,No,Yes,Yes,,Yes,No,No,No,No,No,Yes,Yes,No,,No,No,No,Yes,Yes,,not important,"important, but not to the level to pay for it","important, but not to the level to pay for it",
81,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
82,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,One spectrometer,Less than 1 data set / week,,,,Low impact,"runtime
availability in non-human animals (such as Ciona intestinalis)",Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,,No,No,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
83,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,No,No,No,,Yes,Yes,No,Yes,No,,"ultrafleXtreme,autoflexspeed,rapiflex,solariX XR",3-5 data sets / week,,1-2 data sets / week,,Very high impact,"It read time of data fast.
That calculation time is short.
Peak picking of the isotope.
That the super computer is not needed.",No,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,No,No,No,No,No,,No,Yes,No,Yes,No,,"crucial, ready to pay for it","crucial, ready to pay for it","crucial, ready to pay for it","Either can be used in the open?
Or it is limited to each device manufacturer?"
84,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
85,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
86,1980-01-01 00:00:00,3,en,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,one,1-2 data sets / day,,Less than 1 data set / week,,High impact,,Yes,No,No,Yes,No,,No,No,No,Yes,No,No,No,No,No,,No,No,No,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
87,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
88,1980-01-01 00:00:00,3,en,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,No,No,No,No,Yes,,1,3-5 data sets / week,,3-5 data sets / week,,High impact,,Yes,No,No,No,No,,Yes,No,No,No,No,No,Yes,No,No,,Yes,No,Yes,Yes,Yes,,I don't know,I don't know,I don't know,
89,1980-01-01 00:00:00,3,en,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,"Bruker Ultraflex III
Bruker UltrafleXtreme",1-2 data sets / week,,Less than 1 data set / week,,High impact,,Yes,No,No,No,No,,No,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
90,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
91,,1,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,Yes,Yes,Yes,No,No,Triple Q,,3-5 data sets / day,,Less than 1 data set / week,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
92,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
93,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,,Yes,No,No,Yes,No,,2: Ultraflextreme and FT-ICR,3-5 data sets / week,,Less than 1 data set / week,,High impact,size data and run time especially,Yes,No,Yes,No,No,,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"crucial, ready to pay for it","crucial, ready to pay for it","important, but not to the level to pay for it",
94,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,1,1-2 data sets / week,,Less than 1 data set / week,,Unsure,No idea,No,Yes,No,No,No,,No,No,No,Yes,No,No,No,No,No,,No,No,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","important, but not to the level to pay for it",
95,1980-01-01 00:00:00,3,en,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,"One MALDI-TOF/TOF (ultrafleXtreme, Bruker Daltonics)",Less than 1 data set / week,,,,Unsure,"size of data, peak picking for average spectra",No,No,Yes,No,No,,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,No,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
96,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
97,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
98,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,,No,Yes,No,No,No,,Ultrafelxtreme and Ultraflex II both Bruker MALDI ToF,Less than 1 data set / week,,,,High impact,"runtime
size of data
compatibility",Yes,Yes,Yes,No,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,No,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it","- Possiblity to have a free version and a ""premium""-version to pay for
- further development/improvement of the tool by others
- security"
99,1980-01-01 00:00:00,3,en,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,,Yes,Yes,No,No,No,,"ultraflex II
ultrafleXtreme",1-2 data sets / week,,Less than 1 data set / week,,High impact,"Data reduction
short processing time
automated feature selection
implementation of different algorithms, SVM, GA, QC, SNN",Yes,No,No,No,No,,Yes,Yes,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,"important, but not to the level to pay for it","important, but not to the level to pay for it","crucial, ready to pay for it",
100,,,en,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,
