Response ID;Date submitted;Last page;Start language;What is your profession- [Biologist];What is your profession- [Chemist];What is your profession- [Biochemist];What is your profession- [Pharmacologist];What is your profession- [Pathologist];What is your profession- [Medical scientist];What is your profession- [Medical doctor];What is your profession- [Toxicologist / Forensic scientist];What is your profession- [Technical assistant];What is your profession- [Engineer/ Physicist];What is your profession- [Bioinformatician];What is your profession- [Mathematician/ Statistician];What is your profession- [Student];What is your profession- [PhD Student];What is your profession- [Computer Science];What is your profession- [Mass Spectrometrist];What is your profession- [Microbiologist];What is your field of use for MALDI imaging- [Small molecules];What is your field of use for MALDI imaging- [Lipidomics];What is your field of use for MALDI imaging- [Metabolomics];What is your field of use for MALDI imaging- [Proteomics];What is your field of use for MALDI imaging- [Pharmaceutical research];What is your field of use for MALDI imaging- [Biomarkers and diagnostics];What is your field of use for MALDI imaging- [Pathology and molecular histology];What is your field of use for MALDI imaging- [Forensics and toxicology];What is your field of use for MALDI imaging- [Polymer research];What is your field of use for MALDI imaging- [Plant research];What is your field of use for MALDI imaging- [Microbiology];What is your field of use for MALDI imaging- [Methodology];What is your field of use for MALDI imaging- [Bioinformatics];What is your field of use for MALDI imaging- [MALDI-imaging services];What is your field of use for MALDI imaging- [Instrumentation];What is your field of use for MALDI imaging- [Other];Which ionization techniques do you use in your lab for mass spectrometry imaging- [MALDI (Matrix-assisted laser desorption/ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [DESI (Desorption electrospray ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [SIMS (Secondary ion mass spectrometry)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [LAESI (Laser ablation electrospray ionization)];Which ionization techniques do you use in your lab for mass spectrometry imaging- [Other];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), linear mode];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [ToF (Time of flight), reflector mode];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Q-ToF (Quadrupole time of flight)];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-ICR (Fourier transform ion cyclotron resonance)];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [FT-Orbitrap];Which type of mass analyzers do you use in your lab for mass spectrometry imaging- [Other];How many mass spectrometers do you have in your lab for performing MS imaging experiments-;Which mass spectrometers do you have in your lab for performing MS imaging experiments-;How many MS imaging data sets are acquired in your lab on average-;How many MS imaging data sets are acquired in your lab on average- [Other];How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) -;How many of these data sets are high-resolution MS imaging data sets (QToF, FT-ICR, FT-Orbitrap, other) - [Other];What impact do you expect METASPACE to have on the work in your lab/ industry-;Which features, functions, or performance characteristics would increase the impact of METASPACE on the work in your lab/ industry- Which processing constraints are valid for you (e.g. runtime, size of data)-;What would be the preferable way of running the software- [Online in a cloud/ community server];What would be the preferable way of running the software- [Local cluster/ server];What would be the preferable way of running the software- [Workstation];What would be the preferable way of running the software- [Desktop PC];What would be the preferable way of running the software- [Laptop];What would be the preferable way of running the software- [Other];Which types / formats of input data are necessary- [imzML format];Which types / formats of input data are necessary- [SCiLS Lab format];Which types / formats of input data are necessary- [Other MS imaging software format];Which types / formats of input data are necessary- [Bruker raw data];Which types / formats of input data are necessary- [Shimadzu raw data];Which types / formats of input data are necessary- [Sciex raw data];Which types / formats of input data are necessary- [Thermo Fisher Scientific raw data];Which types / formats of input data are necessary- [Waters raw data];Which types / formats of input data are necessary- [Other mass spec vendor's raw data];Which types / formats of input data are necessary- [Other];Which types of output should be provided- [Interactive web browser];Which types of output should be provided- [Integration within SCiLS Lab];Which types of output should be provided- [PDF report];Which types of output should be provided- [List of molecules];Which types of output should be provided- [Images];Which types of output should be provided- [Other];How important would be for you the sustainability of the engine-;How important would be for you customization services-;How important would be for you maintenance and support-;If you have any further comments or general remarks please leave them here:
69;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;;Yes;No;No;No;;Yes;Yes;Yes;Yes;No;;11;"Bruker Autoflex (3)
15T Bruker solariX
9.4T Bruker soalriX
Bruker RapifleX
Bruker Ultraflex
Waters G2
Thermo LTQ
SimulTOF (2)";More than 5 data sets / day;;1-2 data sets / day;;High impact;Not sure if your search is already including this, but would be very helpful if lipids were included in the exact mass filtering step.;Yes;No;Yes;Yes;Yes;;No;Yes;No;Yes;No;No;No;No;Yes;;Yes;Yes;No;Yes;Yes;;crucial, ready to pay for it;I don't know;important, but not to the level to pay for it;
80;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;Yes;;No;Yes;No;Yes;LAAPPI;No;No;Yes;No;No;;;2;1-2 data sets / week;;1-2 data sets / week;;Unsure;Unlike MALDI, LAAPPI may also create molecular ions. This should be taken into account.;Yes;No;No;Yes;Yes;;Yes;No;No;No;No;No;Yes;Yes;No;;No;No;No;Yes;Yes;;not important;important, but not to the level to pay for it;important, but not to the level to pay for it;
93;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;;Yes;No;No;No;;Yes;No;No;Yes;No;;2;2: Ultraflextreme and FT-ICR;3-5 data sets / week;;Less than 1 data set / week;;High impact;size data and run time especially;Yes;No;Yes;No;No;;Yes;Yes;Yes;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;crucial, ready to pay for it;crucial, ready to pay for it;important, but not to the level to pay for it;
94;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;;1;1-2 data sets / week;;Less than 1 data set / week;;Unsure;No idea;No;Yes;No;No;No;;No;No;No;Yes;No;No;No;No;No;;No;No;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
95;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;No;Yes;No;No;No;;1;One MALDI-TOF/TOF (ultrafleXtreme, Bruker Daltonics);Less than 1 data set / week;;;;Unsure;size of data, peak picking for average spectra;No;No;Yes;No;No;;No;No;No;Yes;No;No;No;No;No;;Yes;No;No;No;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
105;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;;Yes;Yes;No;No;;No;Yes;Yes;No;Yes;;3;Xero, synapt, orbitrap, plenty others i'm sure (no Bruker though!);More than 5 data sets / day;;3-5 data sets / week;;Very high impact;"runtime
data upload time
processing time";Yes;Yes;Yes;Yes;No;;Yes;No;No;No;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;raw text output so that others can incorporate the results into other programs;important, but not to the level to pay for it;crucial, ready to pay for it;crucial, ready to pay for it;
113;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;;No;Yes;No;No;;No;No;No;No;Yes;;;1;3-5 data sets / day;;3-5 data sets / day;;High impact;;Yes;No;No;Yes;Yes;;No;No;No;No;No;No;Yes;No;No;;Yes;No;Yes;Yes;Yes;;I don't know;important, but not to the level to pay for it;important, but not to the level to pay for it;
115;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;Yes;;Yes;No;No;No;;No;No;No;Yes;No;;2;"Solarix XR 12T
Solarix XR 7T";3-5 data sets / week;;3-5 data sets / week;;High impact;"Database should be selective for the organism
Database for plants";No;Yes;No;No;No;;No;Yes;No;Yes;No;No;No;No;No;;No;Yes;No;Yes;Yes;;crucial, ready to pay for it;crucial, ready to pay for it;crucial, ready to pay for it;
121;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;;Yes;No;No;No;;No;Yes;No;No;No;;1;one mass spectrometer;Less than 1 data set / week;;Less than 1 data set / week;;Very high impact;the runtime is quite important for us;No;Yes;No;No;No;;No;No;No;Yes;No;No;No;No;No;;No;No;No;Yes;No;;important, but not to the level to pay for it;I don't know;important, but not to the level to pay for it;"As we are go to use the mass spectrometer soon we do not know  the coming problems,we may chnage ouir ideas 
after start the work."
124;01/01/80 00:00;3;en;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;;Yes;No;No;No;MALDESI;No;Yes;No;No;Yes;;2;We have two mass spectrometers for imaging, a MALDI-TOF for low resolution analyses and a MALDESI-Orbitrap for high resolution analyses. ;1-2 data sets / day;;3-5 data sets / week;;High impact;;No;Yes;No;Yes;No;;Yes;No;No;No;No;No;Yes;No;No;;No;No;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
35;01/01/80 00:00;3;en;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;Yes;No;;Yes;No;No;No;;Yes;Yes;Yes;No;No;;;3;1-2 data sets / day;;1-2 data sets / week;;High impact;time;Yes;Yes;No;Yes;No;;Yes;Yes;Yes;No;No;No;No;Yes;No;;Yes;Yes;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;I don't know;
44;01/01/80 00:00;3;en;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;;Yes;Yes;No;No;;No;No;No;Yes;No;;1;1- FT-ICR;1-2 data sets / day;;1-2 data sets / day;;Unsure;"Fast,exportable peak picking
Peak lists in formats compatible with many programs
Data analysis is problematic now and takes too long. ideally around 1 hour would be good (or less), avg size of data is 40G per image";No;No;No;Yes;No;;Yes;Yes;No;Yes;No;No;Yes;Yes;No;;No;No;No;Yes;Yes;tx format peak information;I don't know;I don't know;I don't know;
59;01/01/80 00:00;3;en;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;;Yes;Yes;No;No;;Yes;Yes;No;No;No;;2;"2
AutoFlex [Bruker]
Microflex [Bruker]";3-5 data sets / week;;;;High impact;"-Linking high confidence MALDI identifications to a HR tandem MS spectra from a database.  
-Adding annotations and recovering annotations at different certainty threshholds.  
- Ability to handle scale is important.  Longer runtime is acceptable as long as things are reproducible and don't crash.  ";Yes;No;No;Yes;Yes;;Yes;No;No;Yes;No;No;Yes;No;No;mzXML;Yes;Yes;No;Yes;Yes;Include confidences in output;I don't know;important, but not to the level to pay for it;important, but not to the level to pay for it;"The preference for open-source means that the tools themselves should be engineered to last or at least with the transparency and documentation to allow anyone with sufficient will and skill to maintain or customize the tools.  
Paying would be totally reasonable for maintenance of high quality annotations and rapid responses to user software requests.  "
77;01/01/80 00:00;3;en;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;2;2: Bruker UltraflexXtreme and SELDI;1-2 data sets / week;;1-2 data sets / week;;Unsure;;No;Yes;Yes;No;No;;No;Yes;No;Yes;No;No;No;No;No;;No;Yes;No;Yes;Yes;;;;;
45;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;Yes;;3;MALDI-Orbitrap, UltraflexII, Autoflex speed;1-2 data sets / day;;1-2 data sets / week;;High impact;confidence of identification;Yes;No;Yes;No;No;;No;Yes;Yes;Yes;No;No;Yes;Yes;No;;No;Yes;No;No;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
68;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;One;1-2 data sets / week;;;;Unsure;"A molecular database that includes microbial and plant signals (not just human/mouse)
";No;Yes;No;No;Yes;;No;Yes;No;Yes;No;No;No;No;No;;Yes;No;Yes;Yes;Yes;;I don't know;I don't know;I don't know;
70;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;Bruker UltraFlextreme MALDI-TOF/TOF;1-2 data sets / day;;1-2 data sets / week;;Unsure;Size of data;Yes;Yes;No;No;No;;Yes;Yes;No;Yes;No;No;No;No;No;;No;Yes;Yes;Yes;Yes;;crucial, ready to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
76;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;;Yes;No;No;No;;No;Yes;No;No;No;;1;1 MALDI-TOF;3-5 data sets / week;;Less than 1 data set / week;;High impact;"accuracy of annotation
filtering for analysed biological sample/species ";Yes;No;No;Yes;No;;No;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;No;Yes;No;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
82;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;No;Yes;No;No;No;;1;One spectrometer;Less than 1 data set / week;;;;Low impact;"runtime
availability in non-human animals (such as Ciona intestinalis)";Yes;No;No;No;No;;No;No;No;Yes;No;No;No;No;No;;No;No;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
98;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;No;Yes;No;No;No;;2;Ultrafelxtreme and Ultraflex II both Bruker MALDI ToF;Less than 1 data set / week;;;;High impact;"runtime
size of data
compatibility";Yes;Yes;Yes;No;No;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;No;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;"- Possiblity to have a free version and a ""premium""-version to pay for
- further development/improvement of the tool by others
- security"
99;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;2;"ultraflex II
ultrafleXtreme";1-2 data sets / week;;Less than 1 data set / week;;High impact;"Data reduction
short processing time
automated feature selection
implementation of different algorithms, SVM, GA, QC, SNN";Yes;No;No;No;No;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
104;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;1x UltrafleXextreme 2kHz;Less than 1 data set / week;;Less than 1 data set / week;;High impact;allow other modalities;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;No;Yes;No;No;No;Yes;No;;No;Yes;No;No;No;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
107;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;1 AutoflexSpeed MALDI-TOF/TOF ;1-2 data sets / day;;;;;size of data;Yes;No;Yes;No;No;;No;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
114;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;AB SCIEX 4800 TOF/TOF-MS;3-5 data sets / week;;;;No impact;We don't do metabolomics work, so METASPACE does not appear to impact our work. For proteomics work, we would do targeted studies. Runtime is our biggest constraint, but that is a hardware issue, not amenable to changes in software.;No;Yes;No;Yes;No;;No;No;No;No;No;Yes;No;No;No;;Yes;No;Yes;Yes;No;;I don't know;I don't know;I don't know;
130;01/01/80 00:00;3;en;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;;Yes;No;No;Yes;;Yes;Yes;Yes;No;Yes;;5;"Thermo LTQ XL
Thermo LTQ Velos
Synapt G2S
Thermo QExactive
Bruker Ultraflextreme";More than 5 data sets / day;;3-5 data sets / week;;;"Features:
1) High confidence ID without the need for RT alignment
Constraints:
1) RT alignment is not applicable to imaging workflows so available software is not usable.
2) file size long imaging runs
3) Processing power of the computer.";No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;;No;Yes;No;Yes;Yes;;important, but not to the level to pay for it;;;
46;01/01/80 00:00;3;en;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;;Yes;No;No;No;;No;Yes;No;No;No;;1;Ultraflextreme (Bruker) - one spectrometer;Less than 1 data set / week;;;;Unsure;size of data, comparison of LC-MS/MS data with IMS data, peak picking of IMS data;No;No;Yes;No;No;;Yes;No;No;Yes;No;No;No;No;No;ASCII;Yes;Yes;No;Yes;Yes;;I don't know;crucial, ready to pay for it;crucial, ready to pay for it;
88;01/01/80 00:00;3;en;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;;Yes;No;No;No;;No;No;No;No;Yes;;;1;3-5 data sets / week;;3-5 data sets / week;;High impact;;Yes;No;No;No;No;;Yes;No;No;No;No;No;Yes;No;No;;Yes;No;Yes;Yes;Yes;;I don't know;I don't know;I don't know;
103;01/01/80 00:00;3;en;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;Yes;No;;3;"MALDI TOF Autoflex III
MALDI TOF TOF UltrafleXtreme
FTICR XR 7 Tesla with MALDI/ESI combisource";1-2 data sets / week;;Less than 1 data set / week;;Very high impact;"runtime
size of data
confidence of identifications";Yes;Yes;No;Yes;No;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
106;01/01/80 00:00;3;en;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;No;No;No;Yes;No;No;No;;Yes;No;No;No;;Yes;No;No;No;No;;1;Ultraflextreme;3-5 data sets / week;;Less than 1 data set / week;;Very high impact;;No;Yes;No;Yes;No;;No;Yes;No;Yes;No;No;No;No;No;;No;Yes;Yes;Yes;Yes;;I don't know;crucial, ready to pay for it;crucial, ready to pay for it;
112;01/01/80 00:00;3;en;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;;Yes;Yes;No;No;;Yes;Yes;No;Yes;No;;3;"Autoflex
Microflex
FT-ICR";1-2 data sets / day;;Less than 1 data set / week;;High impact;data size;No;Yes;No;No;No;;No;No;Yes;Yes;No;No;Yes;No;No;;Yes;No;Yes;Yes;Yes;;I don't know;important, but not to the level to pay for it;important, but not to the level to pay for it;
28;01/01/80 00:00;3;en;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;Yes;Yes;No;No;No;;Yes;No;No;No;;No;Yes;No;Yes;No;;;;3-5 data sets / week;;3-5 data sets / week;;Very high impact;"Having a processing tool that can handle the large data-sets from high resolution platform is key, currently this is our biggest restraint.
having a tool that can be routinely applied to our investigations in a rapid, robust and automated manner will significantly increase our output. This is huge when we think about turnaround times for investigations and publications.
Having a database that includes more of the ions relative to each ionisation mode is important. For example, most databases are tailored towards ESI and thus miss many of the ions formed by MALDI, which slows down processing as everything has to be mined by hand. Most databases include the [M+H]+, [M+Na]+ and the [M+K]+, but none have the fragment ions that are commonly observed, such as [M-CH3]-. 
Having an algorithm that sums the ions/adducts of the same species is also important for clinical/disease state comparisons, as people often report changes in species when there aren't any changes, and it is actually changes in the sodium and potassium content. ";No;No;Yes;Yes;Yes;It wouldn't be ideal to be dependent on the internet to be able to process my data. ;Yes;Yes;No;Yes;No;No;Yes;Yes;No;;No;No;No;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
43;01/01/80 00:00;3;en;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Yes;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;;1;Less than 1 data set / week;;;;Unsure;;No;Yes;Yes;Yes;No;;No;No;No;Yes;No;No;No;No;No;;Yes;No;Yes;Yes;Yes;;I don't know;I don't know;I don't know;
73;01/01/80 00:00;3;en;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;Yes;No;;Yes;No;No;No;;No;No;No;Yes;No;;1;SolariX;3-5 data sets / week;;3-5 data sets / week;;Unsure;Organism specific database matching of metabolites;No;Yes;No;Yes;Yes;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;I don't know;I don't know;I don't know;
86;01/01/80 00:00;3;en;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;one;1-2 data sets / day;;Less than 1 data set / week;;High impact;;Yes;No;No;Yes;No;;No;No;No;Yes;No;No;No;No;No;;No;No;No;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
119;01/01/80 00:00;3;en;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;;Yes;No;No;No;;No;No;No;Yes;No;;;1;1-2 data sets / day;;3-5 data sets / week;;Unsure;Runtime;No;No;No;Yes;Yes;;No;No;No;Yes;No;No;No;No;No;;No;No;Yes;No;No;SVG;crucial, ready to pay for it;I don't know;I don't know;
48;01/01/80 00:00;3;en;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;;Yes;No;No;No;;Yes;Yes;No;No;No;;1;Just one;1-2 data sets / day;;;;High impact;;No;No;Yes;Yes;No;;Yes;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;No;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
54;01/01/80 00:00;3;en;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;;Yes;No;Yes;No;;No;No;Yes;Yes;No;;2;"two instruments: Waters G2 Q-TOF, with ion mobility; Bruker SolariX FTICR 7T";3-5 data sets / week;;1-2 data sets / week;;;Runtime is an issue as it already takes overnight and most of the next day to load data into the imaging software. Mining the data is difficult because there's no easy way to do a database search for metabolite information. Having the ability to export a list of interest or importing data that was already filtered by METASPACE for potential identifications would cut down on the data mining time. Currently, I do database searches individually by hand rather than by some batch process.;No;Yes;No;No;No;;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Starting with Bruker is essential due to the high mass resolution, but incorporating other vendors as the system is developed is ideal.;No;Yes;No;Yes;Yes;;crucial, ready to pay for it;important, but not to the level to pay for it;crucial, ready to pay for it;
57;01/01/80 00:00;3;en;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;;Yes;Yes;No;No;;Yes;Yes;No;No;Yes;;2;two;More than 5 data sets / day;;3-5 data sets / day;;High impact;"statistical analysis.
data size and some time lack of information of biological problem.";Yes;No;No;No;Yes;;Yes;Yes;No;Yes;No;No;Yes;No;No;;Yes;No;Yes;No;Yes;;important, but not to the level to pay for it;not important;important, but not to the level to pay for it;
58;01/01/80 00:00;3;en;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;Yes;No;;Yes;No;No;No;;No;No;No;No;Yes;;2;2 7T Solarix FTICR MS;1-2 data sets / day;;1-2 data sets / day;;High impact;size of the data, and run time of the software processing large data sets;Yes;No;No;No;No;;No;Yes;No;Yes;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;;crucial, ready to pay for it;crucial, ready to pay for it;crucial, ready to pay for it;
61;01/01/80 00:00;3;en;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;;Yes;Yes;No;No;flow probe and nanoDESI;Yes;Yes;No;Yes;Yes;;4;4*2 maldi tof and two DESI. nanoDESI/flow probe;1-2 data sets / week;;Less than 1 data set / week;;Unsure;annotation and cross correlation with other data sets in an efficient way.;No;No;No;No;No;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;all that apply bet begin with bruker and thermo;Yes;Yes;Yes;Yes;Yes;;important, but not to the level to pay for it;important, but not to the level to pay for it;important, but not to the level to pay for it;
